source_file,participant_id_raw,participant_group,experiment_num,experiment_kind,forced_stop_instruction,driver_age,driver_sex,sex_female,experience_years,day_night,weather,instructed_speed_kmh,initial_speed_kmh,speed_at_yellow_kmh,speed_delta_from_instruction_kmh,distance_threshold_m,yellow_onset_time_value,yellow_onset_time_source,yellow_onset_method,yellow_onset_interp_alpha,yellow_onset_bracket_row0,yellow_onset_bracket_row1,yellow_onset_bracket_d0_m,yellow_onset_bracket_d1_m,yellow_onset_bracket_speed0_kmh,yellow_onset_bracket_speed1_kmh,yellow_onset_distance_abs_error_m,tti_s,a_req_mps2,comfort_rating,go_decision,stop_decision,stop_detected_in_window,stop_distance_event_m,n_fix_rows,min_speed_kmh_full_run,min_light_distance_m,max_light_distance_m,traj_event_type,traj_time_col,traj_t_onset,traj_t_event,traj_duration_s,traj_onset_speed_kmh_raw_interp,traj_onset_distance_m_raw_interp,traj_event_speed_kmh_raw_interp,traj_event_distance_m_raw_interp,traj_v_end_obs_mps,traj_d_end_obs_m,go_decision_meta_original,stop_decision_meta_original,decision_label_override_applied,decision_label_override_reason
1_exp1_44.0_40.0_20260206-140552.csv,1,1,1.0,main,0,35.0,male,0,0.0,day,normal,40.0,41.02328884719472,41.02328884719472,1.0232888471947206,44.0,1770383178.4147286,t_wall,linear_interpolation,0.237496657085068,262,263,44.26843948479064,43.1381520605997,41.119,40.716,0.0,3.86122138061663,1.4756157300788886,5.0,0,1,1,3.92208530462603,443,0.004,3.9013783443701016,223.47771213541884,stop,t_wall,1770383178.4147286,1770383184.416399,6.0016703605651855,41.02328908436385,44.00000066518434,0.184,3.92208530462603,0.0511111111111111,3.92208530462603,0,1,0,
1_exp2_33.0_40.0_20260206-141119.csv,1,1,2.0,main,0,35.0,male,0,0.0,day,normal,40.0,37.38561680259228,37.38561680259228,-2.6143831974077187,33.0,1770383504.950965,t_wall,linear_interpolation,0.5946038264515596,249,250,33.6145192638608,32.58102563915931,37.696,37.174,0.0,3.1776926572403785,1.6340305178056844,4.0,0,1,1,1.1701312157041548,422,0.0,1.143444780646467,204.4879605874636,stop,t_wall,1770383504.950965,1770383510.1963549,5.245389938354492,37.38561697193113,33.000000335269384,0.184,1.1701312157041548,0.0511111111111111,1.1701312157041548,0,1,0,
1_exp3_32.0_60.0_20260206-141522.csv,1,1,3.0,main,0,35.0,male,0,0.0,day,normal,60.0,52.510932656503215,52.510932656503215,-7.489067343496785,32.0,1770383744.2264864,t_wall,linear_interpolation,0.6433916150538525,219,220,32.93707601315189,31.480613119905364,52.592,52.466,0.0,2.1938288690009218,3.3244092983890523,3.0,0,1,1,3.577127564357909,383,0.004,3.537457862639965,226.883328014412,stop,t_wall,1770383744.2264864,1770383748.519519,4.293032646179199,52.51093254278572,31.99999868551339,0.176,3.577127564357909,0.0488888888888888,3.577127564357909,0,1,0,
1_exp4_71.0_40.0_20260206-141846.csv,1,1,4.0,main,0,35.0,male,0,0.0,day,normal,40.0,41.447365624017365,41.447365624017365,1.4473656240173651,71.0,1770383949.3718526,t_wall,linear_interpolation,0.9568135084813002,230,231,72.09860172845748,70.95041379139414,41.389,41.45,0.0,6.166857559021516,0.933470329709494,5.0,0,1,1,3.2405443588299585,442,0.007,3.229197155626182,228.8430885036053,stop,t_wall,1770383949.3718526,1770383958.4996865,9.1278338432312,41.44736553397626,71.00000169482144,0.155,3.2405443588299585,0.0430555555555555,3.2405443588299585,0,1,0,
1_exp5_44.0_60.0_20260206-142135.csv,1,1,5.0,main,0,35.0,male,0,0.0,day,normal,60.0,52.90198051262448,52.90198051262448,-7.098019487375517,44.0,1770384118.5945182,t_wall,linear_interpolation,0.0926007342479986,234,235,44.135699927932365,42.67026956137674,52.913,52.794,0.0,2.9942168226045824,2.4538962034916003,3.0,0,1,1,2.7304519996621246,400,0.004,2.7304519996621246,209.1015555519581,stop,t_wall,1770384118.5945182,1770384123.0865266,4.492008447647095,52.901980698730085,44.00000229180499,0.115,2.7304519996621246,0.0319444444444444,2.7304519996621246,0,1,0,
1_exp6_32.0_50.0_20260206-142437.csv,1,1,6.0,main,0,35.0,male,0,0.0,day,rainy,50.0,48.31947812052115,48.31947812052115,-1.680521879478853,32.0,1770384301.3582745,t_wall,linear_interpolation,0.9272951058968492,235,236,33.24252705057073,31.902579236040857,48.096,48.337,0.0,2.384131710045827,2.8148774665310587,2.0,0,1,1,1.8557604935433587,394,0.007,1.84230823302979,229.2510331651326,stop,t_wall,1770384301.3582745,1770384305.0756595,3.717385053634644,48.31947824518004,31.9999993069028,0.086,1.8557604935433587,0.0238888888888888,1.8557604935433587,0,1,0,
1_exp7_61.0_50.0_20260206-142940.csv,1,1,7.0,main,0,35.0,male,0,0.0,day,rainy,50.0,50.794709369572765,50.794709369572765,0.7947093695727645,61.0,1770384602.3022804,t_wall,linear_interpolation,0.6987031943725516,216,217,61.98251948036822,60.576315117368935,50.692,50.839,0.0,4.323284899658184,1.6318195329509229,5.0,0,1,1,3.591935901205521,403,0.004,3.591935901205521,229.1122400339709,stop,t_wall,1770384602.3022804,1770384608.8560865,6.5538060665130615,50.794709360625056,61.00000008559388,0.155,3.591935901205521,0.0430555555555555,3.591935901205521,0,1,0,
1_exp8_27.0_50.0_20260206-144154.csv,1,1,8.0,main,0,35.0,male,0,0.0,day,rainy,50.0,53.90417223705922,53.90417223705922,3.904172237059221,27.0,1770385338.4684625,t_wall,linear_interpolation,0.4301092594573356,237,238,27.642755248197385,26.148355315937515,53.856,53.968,0.0,1.803199937335738,4.151891553158644,,1,0,0,,377,0.004,-76.78189642497627,219.81491785350465,go,t_wall,1770385338.4684625,1770385340.2789528,1.810490369796753,53.90417218853543,27.000000647446043,52.8299447758358,0.0,14.674984659954388,0.0,1,0,0,
1_exp9_68.0_60.0_20260206-144709.csv,1,1,9.0,main,0,35.0,male,0,0.0,day,rainy,60.0,57.811122109101824,57.811122109101824,-2.1888778908981763,68.0,1770385651.601055,t_wall,linear_interpolation,0.9548487425144674,218,219,69.52975057804673,67.9276637658273,57.856,57.809000000000005,0.0,4.2344793020625096,1.8961770603630408,3.0,0,1,1,3.0129829760979043,409,0.0,2.9973563016814926,231.43143587134395,stop,t_wall,1770385651.601055,1770385658.5326598,6.931604862213135,57.81112207581536,67.99999886536587,0.097,3.0129829760979043,0.0269444444444444,3.0129829760979043,0,1,0,
1_exp10_36.0_40.0_20260206-145113.csv,1,1,10.0,main,0,35.0,male,0,0.0,day,rainy,40.0,44.76584702257384,44.76584702257384,4.765847022573837,36.0,1770385896.4844198,t_wall,linear_interpolation,0.6310460872793244,230,231,36.78315444817594,35.54211284445978,44.834,44.726,0.0,2.8950641754784017,2.147613446982685,4.0,0,1,1,2.451597254338989,401,0.004,2.415473138148005,183.0675994711937,stop,t_wall,1770385896.4844198,1770385901.411719,4.92729926109314,44.76584692511465,35.99999888008425,0.029,2.451597254338989,0.0080555555555555,2.451597254338989,0,1,0,
1_exp11_43.0_60.0_20260206-145401.csv,1,1,11.0,main,0,35.0,male,0,0.0,day,rainy,60.0,61.04496877491772,61.04496877491772,1.04496877491772,43.0,1770386062.3450294,t_wall,linear_interpolation,0.5364587947726034,209,210,43.906438847484026,42.2167678861416,61.016,61.07,0.0,2.535835517760221,3.3434612876208365,,1,0,0,,356,0.004,-79.6774821211845,213.8094543294767,go,t_wall,1770386062.3450294,1770386064.870817,2.525787591934204,61.04496876568376,43.00000028893232,60.89820829505071,0.0,16.91616897084742,0.0,1,0,0,
1_exp12_27.0_50.0_20260206-145659.csv,1,1,12.0,main,0,35.0,male,0,0.0,day,rainy,50.0,49.51403986158022,49.51403986158022,-0.4859601384197773,27.0,1770386240.5330863,t_wall,linear_interpolation,0.2090705722079756,207,208,27.286922470533383,25.91455108653983,49.55,49.378,0.0,1.963079568375536,3.5031437805986445,,1,0,0,,348,0.011,-80.98429445008745,168.98868757038483,go,t_wall,1770386240.5330863,1770386242.4882202,1.9551339149475095,49.514039953474985,27.000000733219373,49.87575659946009,0.0,13.854376833183355,0.0,1,0,0,
2_exp1_63.0_50.0_20260206-152850.csv,2,2,1.0,main,0,28.0,male,0,8.0,day,rainy,50.0,39.42478808775385,39.42478808775385,-10.575211912246148,63.0,1770388168.4591217,t_wall,linear_interpolation,0.5022177951593444,380,381,63.546630158662566,62.458197681893935,39.586,39.265,0.0,5.752725911808991,0.951838327800006,5.0,0,1,1,3.668607621674838,601,0.0,3.6671391262652646,153.8706538410614,stop,t_wall,1770388168.4591217,1770388178.5071037,10.047981977462769,39.42478700717514,62.99999633602193,0.158,3.668607621674838,0.0438888888888888,3.668607621674838,0,1,0,
2_exp2_54.0_60.0_20260206-153253.csv,2,2,2.0,main,0,28.0,male,0,8.0,day,rainy,60.0,55.7266762552793,55.7266762552793,-4.273323744720699,54.0,1770388391.5015402,t_wall,linear_interpolation,0.7842316006499985,182,183,55.21072414115156,53.66688920750687,55.631,55.753,0.0,3.488454956643559,2.218694591950096,4.0,0,1,1,4.365092945353291,369,0.004,4.3593195107907885,188.39319616694937,stop,t_wall,1770388391.5015402,1770388398.0040932,6.50255298614502,55.72667631834116,53.999999201990896,0.083,4.365092945353291,0.0230555555555555,4.365092945353291,0,1,0,
